Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUMT484166000000003,LAUMT484166000000004,LAUMT484166000000005,LAUMT484166000000006",,,,
Not Seasonally Adjusted,,,,,
Area:,"San Angelo, TX Metropolitan Statistical Area",,,,
Area Type:,Metropolitan areas,,,,
State/Region/Division:,Texas,,,,
Years:,2012 to 2022,,,,
,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2012,Jan,53800,50636,3164,5.9
2012,Feb,54013,51001,3012,5.6
2012,Mar,54051,51255,2796,5.2
2012,Apr,54355,51674,2681,4.9
2012,May,54609,51744,2865,5.2
2012,Jun,54872,51673,3199,5.8
2012,Jul,54840,51622,3218,5.9
2012,Aug,54712,51745,2967,5.4
2012,Sep,54888,52152,2736,5.0
2012,Oct,54687,52012,2675,4.9
2012,Nov,54659,52046,2613,4.8
2012,Dec,54658,51997,2661,4.9
2013,Jan,54442,51383,3059,5.6
2013,Feb,54725,51826,2899,5.3
2013,Mar,54827,52039,2788,5.1
2013,Apr,55291,52508,2783,5.0
2013,May,55510,52631,2879,5.2
2013,Jun,55420,52139,3281,5.9
2013,Jul,55178,52028,3150,5.7
2013,Aug,55193,52316,2877,5.2
2013,Sep,55305,52463,2842,5.1
2013,Oct,54685,52008,2677,4.9
2013,Nov,54556,51981,2575,4.7
2013,Dec,54613,52206,2407,4.4
2014,Jan,54893,52367,2526,4.6
2014,Feb,55391,52850,2541,4.6
2014,Mar,55669,53237,2432,4.4
2014,Apr,55262,53206,2056,3.7
2014,May,55327,53054,2273,4.1
2014,Jun,55512,53080,2432,4.4
2014,Jul,55623,53110,2513,4.5
2014,Aug,55477,53139,2338,4.2
2014,Sep,55714,53537,2177,3.9
2014,Oct,55360,53333,2027,3.7
2014,Nov,55490,53459,2031,3.7
2014,Dec,55219,53415,1804,3.3
2015,Jan,55138,52963,2175,3.9
2015,Feb,55425,53237,2188,3.9
2015,Mar,55473,53263,2210,4.0
2015,Apr,55843,53698,2145,3.8
2015,May,56022,53681,2341,4.2
2015,Jun,55903,53394,2509,4.5
2015,Jul,55291,52806,2485,4.5
2015,Aug,55055,52741,2314,4.2
2015,Sep,54965,52679,2286,4.2
2015,Oct,55042,52774,2268,4.1
2015,Nov,55129,52826,2303,4.2
2015,Dec,55120,52936,2184,4.0
2016,Jan,54816,52538,2278,4.2
2016,Feb,55696,53253,2443,4.4
2016,Mar,55753,53264,2489,4.5
2016,Apr,55582,53168,2414,4.3
2016,May,55527,53180,2347,4.2
2016,Jun,55599,52954,2645,4.8
2016,Jul,54995,52275,2720,4.9
2016,Aug,54885,52276,2609,4.8
2016,Sep,54639,52096,2543,4.7
2016,Oct,54458,52045,2413,4.4
2016,Nov,54500,52182,2318,4.3
2016,Dec,54182,51888,2294,4.2
2017,Jan,54126,51672,2454,4.5
2017,Feb,54415,52038,2377,4.4
2017,Mar,54505,52288,2217,4.1
2017,Apr,54395,52444,1951,3.6
2017,May,54230,52221,2009,3.7
2017,Jun,54666,52497,2169,4.0
2017,Jul,54573,52474,2099,3.8
2017,Aug,54612,52598,2014,3.7
2017,Sep,54816,53009,1807,3.3
2017,Oct,54641,52976,1665,3.0
2017,Nov,54599,52854,1745,3.2
2017,Dec,54538,52893,1645,3.0
2018,Jan,54421,52590,1831,3.4
2018,Feb,54977,53177,1800,3.3
2018,Mar,54988,53222,1766,3.2
2018,Apr,55037,53455,1582,2.9
2018,May,54797,53211,1586,2.9
2018,Jun,54918,53002,1916,3.5
2018,Jul,54933,53094,1839,3.3
2018,Aug,54858,53084,1774,3.2
2018,Sep,54997,53259,1738,3.2
2018,Oct,54922,53264,1658,3.0
2018,Nov,55086,53410,1676,3.0
2018,Dec,54551,52857,1694,3.1
2019,Jan,54694,52810,1884,3.4
2019,Feb,55221,53451,1770,3.2
2019,Mar,54973,53317,1656,3.0
2019,Apr,54728,53332,1396,2.6
2019,May,54379,52907,1472,2.7
2019,Jun,54703,52895,1808,3.3
2019,Jul,54344,52491,1853,3.4
2019,Aug,54777,53053,1724,3.1
2019,Sep,54936,53328,1608,2.9
2019,Oct,54802,53226,1576,2.9
2019,Nov,54682,53107,1575,2.9
2019,Dec,54602,53119,1483,2.7
2020,Jan,54698,53010,1688,3.1
2020,Feb,55148,53602,1546,2.8
2020,Mar,54111,51731,2380,4.4
2020,Apr,51234,46433,4801,9.4
2020,May,52785,47778,5007,9.5
2020,Jun,53776,49003,4773,8.9
2020,Jul,54082,49580,4502,8.3
2020,Aug,54242,50731,3511,6.5
2020,Sep,54209,50786,3423,6.3
2020,Oct,54898,51867,3031,5.5
2020,Nov,54757,51532,3225,5.9
2020,Dec,54803,51604,3199,5.8
2021,Jan,54682,51372,3310,6.1
2021,Feb,55110,51892,3218,5.8
2021,Mar,55294,52302,2992,5.4
2021,Apr,55108,52412,2696,4.9
2021,May,54741,52116,2625,4.8
2021,Jun,54974,51951,3023,5.5
2021,Jul,54364,51659,2705,5.0
2021,Aug,54417,51882,2535,4.7
2021,Sep,54564,52137,2427,4.4
2021,Oct,54743,52429,2314,4.2
2021,Nov,54778,52616,2162,3.9
2021,Dec,54610,52642,1968,3.6
2022,Jan,54821,52546,2275,4.1
2022,Feb,55671,53412,2259,4.1
2022,Mar,55584,53758,1826,3.3
2022,Apr,54921,53254,1667,3.0
2022,May,54753,52986,1767,3.2
2022,Jun,55061,52993,2068,3.8
2022,Jul,54800,52809,1991,3.6
2022,Aug,54387,52468,1919,3.5
